bevolkingsdichtheid_inwoners_per_km2,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaar,percentage_personen_15_tot_25_jaar,percentage_personen_25_tot_45_jaar,percentage_personen_45_tot_65_jaar,percentage_personen_65_jaar_en_ouder,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,geboortes_per_1000_inwoners,aantal_huishoudens,gemiddelde_huishoudsgrootte,woningvoorraad,gemiddelde_woningwaarde,woningwaarde,personenautos_per_huishouden,motortweewielers_totaal
18567,1115,650,465,4,13,50,25,9,77,14,8,1,5,770,1.4,773,429,3316.17,0.2,25
7756,695,390,305,3,21,49,18,10,81,10,7,1,9,510,1.4,532,448,2383.36,0.2,15
27483,1650,860,790,5,17,47,20,11,77,15,7,1,8,1145,1.4,1008,458,4616.64,0.2,55
7360,370,205,165,6,17,51,20,7,77,15,6,2,5,245,1.5,263,0,0.0,0.3,15
8638,695,385,310,5,20,42,22,11,77,16,6,2,9,510,1.4,398,528,2101.44,0.2,15
0,5,5,5,0,0,0,0,0,0,0,0,0,0,5,1.8,0,0,0.0,0.0,0
9317,560,325,235,4,13,54,22,6,82,11,7,1,5,405,1.4,403,444,1789.32,0.3,15
7517,450,260,195,3,17,55,20,4,82,13,4,1,16,340,1.3,339,469,1589.91,0.2,5
16140,805,440,365,3,15,54,20,8,76,18,5,1,7,555,1.4,556,493,2741.08,0.3,20
9600,765,450,320,6,17,52,19,6,80,16,4,1,7,520,1.5,534,465,2483.1,0.2,30
12033,725,405,320,5,14,50,21,10,79,15,6,1,4,525,1.4,575,487,2800.25,0.3,20
5914,415,175,245,1,14,50,19,16,74,13,12,1,10,330,1.2,346,469,1622.74,0.3,10
5920,295,170,125,3,22,51,17,6,80,15,5,0,10,205,1.4,219,605,1324.95,0.2,5
18690,1870,995,875,10,11,31,28,21,60,30,7,3,10,1145,1.6,1200,814,9768.0,0.5,50
12857,1800,905,895,6,20,35,25,15,70,24,5,2,9,1200,1.5,1202,807,9700.14,0.5,60
12638,2025,1075,945,6,11,39,28,16,64,27,7,2,10,1320,1.5,1463,785,11484.55,0.5,50
13500,675,360,315,6,12,37,27,18,64,26,6,3,4,435,1.6,452,932,4212.64,0.6,10
