OBJECTNUMMER;Buurtcode;Buurtnaam;Wijkcode;Stadsdeelcode;Oppervlakte_m2;BuurtID;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"A00b";"Oude Kerk e.o.";"A00";"A";92626;"03630000000079";"POLYGON((4.893011 52.372706,4.893299 52.3732,4.893564 52.373488,4.894363 52.374067,4.896473 52.375764,4.897079 52.375505,4.897889 52.375159,4.898 52.375237,4.899232 52.374789,4.899406 52.374748,4.899014 52.374374,4.898723 52.374116,4.896856 52.372674,4.895876 52.37186,4.89482 52.372199,4.893835 52.372536,4.893011 52.372706))";"POLYGON((52.372706 4.893011,52.3732 4.893299,52.373488 4.893564,52.374067 4.894363,52.375764 4.896473,52.375505 4.897079,52.375159 4.897889,52.375237 4.898,52.374789 4.899232,52.374748 4.899406,52.374374 4.899014,52.374116 4.898723,52.372674 4.896856,52.37186 4.895876,52.372199 4.89482,52.372536 4.893835,52.372706 4.893011))";4.8962085;52.373812;
2;"A00d";"Nes e.o.";"A00";"A";57840;"03630000000081";"POLYGON((4.892974 52.372708,4.893011 52.372706,4.893835 52.372536,4.89482 52.372199,4.895876 52.37186,4.895204 52.371299,4.894959 52.37105,4.894826 52.370898,4.894754 52.370762,4.894263 52.36923,4.893666 52.369217,4.893512 52.369177,4.892391 52.36908,4.892014 52.369051,4.892049 52.36921,4.89247 52.370245,4.892538 52.370448,4.892803 52.371494,4.892842 52.371758,4.892881 52.372372,4.892921 52.372563,4.892974 52.372708))";"POLYGON((52.372708 4.892974,52.372706 4.893011,52.372536 4.893835,52.372199 4.89482,52.37186 4.895876,52.371299 4.895204,52.37105 4.894959,52.370898 4.894826,52.370762 4.894754,52.36923 4.894263,52.369217 4.893666,52.369177 4.893512,52.36908 4.892391,52.369051 4.892014,52.36921 4.892049,52.370245 4.89247,52.370448 4.892538,52.371494 4.892803,52.371758 4.892842,52.372372 4.892881,52.372563 4.892921,52.372708 4.892974))";4.893945;52.3708795;
3;"A00e";"BG-terrein e.o.";"A00";"A";101289;"03630000000082";"POLYGON((4.892391 52.36908,4.893512 52.369177,4.893666 52.369217,4.894263 52.36923,4.894754 52.370762,4.894826 52.370898,4.894959 52.37105,4.895204 52.371299,4.895876 52.37186,4.897063 52.371438,4.898755 52.370995,4.896365 52.368497,4.896231 52.368291,4.895786 52.367811,4.895474 52.367497,4.895372 52.367424,4.895268 52.367367,4.895052 52.36733,4.89483 52.367307,4.894323 52.367287,4.894147 52.367288,4.892891 52.368331,4.892435 52.368963,4.892391 52.36908))";"POLYGON((52.36908 4.892391,52.369177 4.893512,52.369217 4.893666,52.36923 4.894263,52.370762 4.894754,52.370898 4.894826,52.37105 4.894959,52.371299 4.895204,52.37186 4.895876,52.371438 4.897063,52.370995 4.898755,52.368497 4.896365,52.368291 4.896231,52.367811 4.895786,52.367497 4.895474,52.367424 4.895372,52.367367 4.895268,52.36733 4.895052,52.367307 4.89483,52.367287 4.894323,52.367288 4.894147,52.368331 4.892891,52.368963 4.892435,52.36908 4.892391))";4.895573;52.3695735;
4;"A01a";"Stationsplein e.o.";"A01";"A";260454;"03630000000083";"POLYGON((4.895468 52.379855,4.895806 52.380143,4.896656 52.38106,4.898772 52.38297,4.89948 52.382486,4.90006 52.382155,4.900367 52.38198,4.901184 52.381563,4.902097 52.381196,4.902263 52.381129,4.903263 52.380774,4.904313 52.380464,4.905475 52.380204,4.906409 52.380041,4.904287 52.377933,4.903545 52.377173,4.903254 52.37659,4.902978 52.376689,4.902452 52.377141,4.901959 52.377243,4.900968 52.377241,4.899691 52.377303,4.898867 52.377741,4.898667 52.378012,4.898561 52.378122,4.898441 52.378227,4.898062 52.378505,4.89793 52.378578,4.897713 52.378677,4.897528 52.37876,4.895468 52.379855))";"POLYGON((52.379855 4.895468,52.380143 4.895806,52.38106 4.896656,52.38297 4.898772,52.382486 4.89948,52.382155 4.90006,52.38198 4.900367,52.381563 4.901184,52.381196 4.902097,52.381129 4.902263,52.380774 4.903263,52.380464 4.904313,52.380204 4.905475,52.380041 4.906409,52.377933 4.904287,52.377173 4.903545,52.37659 4.903254,52.376689 4.902978,52.377141 4.902452,52.377243 4.901959,52.377241 4.900968,52.377303 4.899691,52.377741 4.898867,52.378012 4.898667,52.378122 4.898561,52.378227 4.898441,52.378505 4.898062,52.378578 4.89793,52.378677 4.897713,52.37876 4.897528,52.379855 4.895468))";4.9009385;52.37978;
5;"A01b";"Hemelrijk";"A01";"A";62958;"03630000000084";"POLYGON((4.892082 52.377031,4.893913 52.378696,4.894003 52.378766,4.894341 52.37903,4.895194 52.379624,4.895468 52.379855,4.897528 52.37876,4.897713 52.378677,4.896894 52.378001,4.895953 52.377791,4.895849 52.377757,4.895747 52.377711,4.895663 52.377661,4.895583 52.377599,4.895104 52.377146,4.894965 52.37704,4.894775 52.376916,4.894422 52.376738,4.8942 52.376609,4.892082 52.377031))";"POLYGON((52.377031 4.892082,52.378696 4.893913,52.378766 4.894003,52.37903 4.894341,52.379624 4.895194,52.379855 4.895468,52.37876 4.897528,52.378677 4.897713,52.378001 4.896894,52.377791 4.895953,52.377757 4.895849,52.377711 4.895747,52.377661 4.895663,52.377599 4.895583,52.377146 4.895104,52.37704 4.894965,52.376916 4.894775,52.376738 4.894422,52.376609 4.8942,52.377031 4.892082))";4.8948975;52.378232;
6;"A01c";"Nieuwendijk Noord";"A01";"A";65985;"03630000000085";"POLYGON((4.893582 52.376221,4.8942 52.376609,4.894422 52.376738,4.894775 52.376916,4.894965 52.37704,4.895104 52.377146,4.895583 52.377599,4.895663 52.377661,4.895747 52.377711,4.895849 52.377757,4.895953 52.377791,4.896894 52.378001,4.897713 52.378677,4.89793 52.378578,4.898062 52.378505,4.898441 52.378227,4.898561 52.378122,4.898667 52.378012,4.898867 52.377741,4.899691 52.377303,4.89914 52.376971,4.897079 52.375505,4.896473 52.375764,4.896265 52.375818,4.895702 52.376035,4.895622 52.376115,4.895342 52.376181,4.895099 52.376206,4.893582 52.376221))";"POLYGON((52.376221 4.893582,52.376609 4.8942,52.376738 4.894422,52.376916 4.894775,52.37704 4.894965,52.377146 4.895104,52.377599 4.895583,52.377661 4.895663,52.377711 4.895747,52.377757 4.895849,52.377791 4.895953,52.378001 4.896894,52.378677 4.897713,52.378578 4.89793,52.378505 4.898062,52.378227 4.898441,52.378122 4.898561,52.378012 4.898667,52.377741 4.898867,52.377303 4.899691,52.376971 4.89914,52.375505 4.897079,52.375764 4.896473,52.375818 4.896265,52.376035 4.895702,52.376115 4.895622,52.376181 4.895342,52.376206 4.895099,52.376221 4.893582))";4.8966365;52.377091;
7;"A01d";"Spuistraat Noord";"A01";"A";56815;"03630000000086";"POLYGON((4.888855 52.37326,4.888908 52.373439,4.889259 52.374309,4.889303 52.374462,4.889673 52.37482,4.89118 52.376191,4.891314 52.376324,4.892082 52.377031,4.8942 52.376609,4.893582 52.376221,4.89245 52.375458,4.892069 52.375192,4.891933 52.375074,4.891756 52.374873,4.891352 52.374451,4.890938 52.37399,4.89088 52.373892,4.89065 52.373391,4.890589 52.373174,4.888855 52.37326))";"POLYGON((52.37326 4.888855,52.373439 4.888908,52.374309 4.889259,52.374462 4.889303,52.37482 4.889673,52.376191 4.89118,52.376324 4.891314,52.377031 4.892082,52.376609 4.8942,52.376221 4.893582,52.375458 4.89245,52.375192 4.892069,52.375074 4.891933,52.374873 4.891756,52.374451 4.891352,52.37399 4.890938,52.373892 4.89088,52.373391 4.89065,52.373174 4.890589,52.37326 4.888855))";4.8915275;52.3751025;
8;"A01e";"Nieuwe Kerk e.o.";"A01";"A";84135;"03630000000087";"POLYGON((4.890589 52.373174,4.89065 52.373391,4.89088 52.373892,4.890938 52.37399,4.891352 52.374451,4.891756 52.374873,4.891933 52.375074,4.892069 52.375192,4.89245 52.375458,4.893582 52.376221,4.895099 52.376206,4.895342 52.376181,4.895622 52.376115,4.895702 52.376035,4.896265 52.375818,4.896473 52.375764,4.894363 52.374067,4.893564 52.373488,4.893299 52.3732,4.893011 52.372706,4.892974 52.372708,4.892126 52.372742,4.891752 52.372724,4.89137 52.372718,4.890605 52.372643,4.890573 52.372946,4.890589 52.373174))";"POLYGON((52.373174 4.890589,52.373391 4.89065,52.373892 4.89088,52.37399 4.890938,52.374451 4.891352,52.374873 4.891756,52.375074 4.891933,52.375192 4.892069,52.375458 4.89245,52.376221 4.893582,52.376206 4.895099,52.376181 4.895342,52.376115 4.895622,52.376035 4.895702,52.375818 4.896265,52.375764 4.896473,52.374067 4.894363,52.373488 4.893564,52.3732 4.893299,52.372706 4.893011,52.372708 4.892974,52.372742 4.892126,52.372724 4.891752,52.372718 4.89137,52.372643 4.890605,52.372946 4.890573,52.373174 4.890589))";4.893523;52.374432;
9;"A01f";"Spuistraat Zuid";"A01";"A";67125;"03630000000088";"POLYGON((4.888855 52.37326,4.890589 52.373174,4.890573 52.372946,4.890605 52.372643,4.890646 52.37225,4.890679 52.371644,4.890671 52.37153,4.890643 52.371422,4.890595 52.371316,4.890318 52.370837,4.890199 52.370688,4.890061 52.37055,4.889708 52.370093,4.889509 52.36971,4.889352 52.369349,4.889302 52.368907,4.889253 52.368803,4.889189 52.368703,4.889104 52.3686,4.889018 52.368516,4.88854 52.368129,4.88806 52.368498,4.887851 52.368726,4.887839 52.368764,4.887827 52.368803,4.888125 52.370301,4.888508 52.372324,4.888766 52.373038,4.888821 52.373146,4.888855 52.37326))";"POLYGON((52.37326 4.888855,52.373174 4.890589,52.372946 4.890573,52.372643 4.890605,52.37225 4.890646,52.371644 4.890679,52.37153 4.890671,52.371422 4.890643,52.371316 4.890595,52.370837 4.890318,52.370688 4.890199,52.37055 4.890061,52.370093 4.889708,52.36971 4.889509,52.369349 4.889352,52.368907 4.889302,52.368803 4.889253,52.368703 4.889189,52.3686 4.889104,52.368516 4.889018,52.368129 4.88854,52.368498 4.88806,52.368726 4.887851,52.368764 4.887839,52.368803 4.887827,52.370301 4.888125,52.372324 4.888508,52.373038 4.888766,52.373146 4.888821,52.37326 4.888855))";4.889253;52.3706945;
10;"A01g";"Begijnhofbuurt";"A01";"A";70628;"03630000000089";"POLYGON((4.889189 52.368703,4.889253 52.368803,4.889302 52.368907,4.889352 52.369349,4.889509 52.36971,4.889708 52.370093,4.890061 52.37055,4.890199 52.370688,4.890318 52.370837,4.890595 52.371316,4.890643 52.371422,4.890671 52.37153,4.890679 52.371644,4.890646 52.37225,4.890605 52.372643,4.89137 52.372718,4.891752 52.372724,4.892126 52.372742,4.892974 52.372708,4.892921 52.372563,4.892881 52.372372,4.892842 52.371758,4.892803 52.371494,4.892538 52.370448,4.89247 52.370245,4.892049 52.36921,4.892014 52.369051,4.891215 52.368992,4.891142 52.368982,4.890966 52.368915,4.890468 52.368832,4.890218 52.368862,4.889755 52.368785,4.889189 52.368703))";"POLYGON((52.368703 4.889189,52.368803 4.889253,52.368907 4.889302,52.369349 4.889352,52.36971 4.889509,52.370093 4.889708,52.37055 4.890061,52.370688 4.890199,52.370837 4.890318,52.371316 4.890595,52.371422 4.890643,52.37153 4.890671,52.371644 4.890679,52.37225 4.890646,52.372643 4.890605,52.372718 4.89137,52.372724 4.891752,52.372742 4.892126,52.372708 4.892974,52.372563 4.892921,52.372372 4.892881,52.371758 4.892842,52.371494 4.892803,52.370448 4.892538,52.370245 4.89247,52.36921 4.892049,52.369051 4.892014,52.368992 4.891215,52.368982 4.891142,52.368915 4.890966,52.368832 4.890468,52.368862 4.890218,52.368785 4.889755,52.368703 4.889189))";4.8910815;52.3707225;
