bevolkingsdichtheid_inwoners_per_km2,aantal_inwoners,mannen,vrouwen,percentage_personen_0_tot_15_jaar,percentage_personen_15_tot_25_jaar,percentage_personen_25_tot_45_jaar,percentage_personen_45_tot_65_jaar,percentage_personen_65_jaar_en_ouder,percentage_ongehuwd,percentage_gehuwd,percentage_gescheid,percentage_verweduwd,geboortes_per_1000_inwoners,aantal_huishoudens,gemiddelde_huishoudsgrootte,woningvoorraad,gemiddelde_woningwaarde,personenautos_per_huishouden,motortweewielers_totaal,bouwjaarklasse_tot_2000,stadsdeel,buurtcode,buurtnaam
18567,1115,650,465,4,13,50,25,9,77,14,8,1,5,770,1.4,773,429,0.2,25,749,Centrum,BU03630000,Kop Zeedijk
7756,695,390,305,3,21,49,18,10,81,10,7,1,9,510,1.4,532,448,0.2,15,462,Centrum,BU03630001,Oude Kerk e.o.
27483,1650,860,790,5,17,47,20,11,77,15,7,1,8,1145,1.4,1008,458,0.2,55,967,Centrum,BU03630002,Burgwallen Oost
7360,370,205,165,6,17,51,20,7,77,15,6,2,5,245,1.5,263,0,0.3,15,257,Centrum,BU03630003,Nes e.o.
8638,695,385,310,5,20,42,22,11,77,16,6,2,9,510,1.4,398,528,0.2,15,398,Centrum,BU03630004,BG-terrein e.o.
0,5,5,5,0,0,0,0,0,0,0,0,0,0,5,1.8,0,0,0.0,0,0,Centrum,BU03630100,Stationsplein e.o.
9317,560,325,235,4,13,54,22,6,82,11,7,1,5,405,1.4,403,444,0.3,15,398,Centrum,BU03630101,Hemelrijk
7517,450,260,195,3,17,55,20,4,82,13,4,1,16,340,1.3,339,469,0.2,5,328,Centrum,BU03630102,Nieuwendijk Noord
16140,805,440,365,3,15,54,20,8,76,18,5,1,7,555,1.4,556,493,0.3,20,556,Centrum,BU03630103,Spuistraat Noord
9600,765,450,320,6,17,52,19,6,80,16,4,1,7,520,1.5,534,465,0.2,30,517,Centrum,BU03630104,Nieuwe Kerk e.o.
12033,725,405,320,5,14,50,21,10,79,15,6,1,4,525,1.4,575,487,0.3,20,534,Centrum,BU03630105,Spuistraat Zuid
5914,415,175,245,1,14,50,19,16,74,13,12,1,10,330,1.2,346,469,0.3,10,346,Centrum,BU03630106,Begijnhofbuurt
5920,295,170,125,3,22,51,17,6,80,15,5,0,10,205,1.4,219,605,0.2,5,214,Centrum,BU03630107,Kalverdriehoek
